PA,File,Keywords,Complexity,Cognitive Complexity,Prompt Token Count,Lazy Phind-CodeLlama-34B-v2,Lazy gpt-3.5-turbo-1106,Lazy WizardCoder-15B-V1.0,Lazy gpt-4-0125-preview,Lazy deepseek-coder-6.7b-instruct
PA19,game/map/cells/Cell.java,55,12,9,720,0.0,0.0,0.0,0.0,0.0
PA19,game/map/cells/FillableCell.java,31,5,1,736,0.0,0.0,0.0,0.0,0.0
PA19,game/map/cells/TerminationCell.java,60,13,6,834,0.0,0.0,0.0,0.0,0.0
PA19,game/map/cells/Wall.java,12,2,0,630,0.0,0.0,0.0,0.0,0.0
PA19,game/map/Map.java,271,93,164,2411,0.0,0.0,0.0,0.0,0.0
PA19,game/pipes/Pipe.java,100,23,3,1022,0.3,0.0,0.0,0.0,0.1
PA19,game/CellStack.java,24,5,1,332,0.0,0.0,0.0,0.0,0.0
PA19,game/DelayBar.java,20,5,2,336,0.0,0.0,0.0,1.0,0.0
PA19,game/Game.java,103,16,7,2074,0.0,0.0,0.0,0.0,0.0
PA19,game/PipeQueue.java,46,13,6,816,0.0,0.0,0.0,0.0,0.0
PA20,assignment/piece/Archer.java,44,11,9,1853,0.0,0.0,0.25,0.0,0.05
PA20,assignment/piece/Knight.java,42,10,9,1855,0.0,0.0,0.05,0.0,0.0
PA20,assignment/player/ConsolePlayer.java,74,17,18,2141,0.9,0.0,0.7,0.0,0.05
PA20,assignment/player/RandomPlayer.java,18,3,0,973,0.1,0.0,0.85,0.0,0.0
PA20,assignment/JesonMor.java,125,25,39,2491,0.55,0.05,0.85,0.0,0.75
PA20,assignment/Main.java,49,7,11,1658,0.85,0.75,1.0,0.0,0.3
PA20,assignment/piece/ArcherMoveRule.java,53,20,32,1054,0.15,0.0,0.45,0.0,0.1
PA20,assignment/piece/FirstNMovesProtectionRule.java,23,4,1,821,0.0,0.0,0.3,0.0,0.0
PA20,assignment/piece/KnightBlockRule.java,28,5,4,888,0.0,0.15,0.1,0.0,0.0
PA20,assignment/piece/KnightMoveRule.java,15,6,4,862,0.0,0.2,0.05,0.0,0.05
PA20,assignment/piece/NilMoveRule.java,11,2,0,680,0.0,0.0,0.0,0.0,0.0
PA20,assignment/piece/OccupiedRule.java,16,4,2,937,0.0,0.05,0.0,0.0,0.0
PA20,assignment/piece/OutOfBoundaryRule.java,20,9,7,871,0.0,0.0,0.0,0.0,0.0
PA20,assignment/piece/VacantRule.java,12,2,0,760,0.0,0.0,0.0,0.0,0.0
PA21,pa1/controller/GameBoardController.java,103,21,25,1900,0.0,0.0,0.0,0.0,0.0
PA21,pa1/controller/GameController.java,55,8,6,1042,0.65,0.0,0.0,0.0,0.0
PA21,pa1/model/Entity.java,40,4,0,871,0.0,0.0,0.65,0.0,0.0
PA21,pa1/model/EntityCell.java,76,12,7,1198,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/ExtraLife.java,17,4,0,420,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/GameBoard.java,238,58,76,2115,0.0,0.0,0.05,0.0,0.0
PA21,pa1/model/GameState.java,136,23,4,1988,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/Gem.java,17,4,0,400,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/Mine.java,17,4,0,424,0.0,0.05,0.0,0.0,0.0
PA21,pa1/model/MoveResult.java,77,6,0,1522,0.9,0.0,0.1,1.0,0.0
PA21,pa1/model/MoveStack.java,44,6,1,695,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/Player.java,17,4,0,397,0.0,0.0,0.0,0.0,0.0
PA21,pa1/model/Position.java,104,11,6,852,0.0,0.05,0.35,0.0,0.0
PA21,pa1/model/StopCell.java,49,10,4,929,0.0,0.0,0.0,0.0,0.0
PA22,assignment/actions/Move.java,53,9,0,565,0.0,0.0,0.1,0.0,0.0
PA22,assignment/game/GameMap.java,170,30,21,1756,0.5,0.4,0.05,0.0,0.2
PA22,assignment/tui/TerminalInputEngine.java,65,11,3,883,0.0,0.0,0.85,0.0,0.0
PA22,assignment/tui/TerminalSokobanGame.java,36,7,5,1118,0.05,0.0,0.0,0.0,0.0
PA22,assignment/tui/TerminalRenderingEngine.java,41,10,19,817,1.0,0.0,0.15,0.0,0.05
PA22,assignment/game/AbstractSokobanGame.java,110,18,18,1458,0.0,0.0,0.55,0.0,0.0
PA22,assignment/game/GameState.java,157,31,10,1720,0.0,0.0,0.05,0.0,0.0
